Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
"Onufriyenko performed his eight career spacewalk on January 25, 2002 when he and NASA astronaut Daniel Bursch ventured out into space from the Pirs airlock.","Onufriyenko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Daniel Bursch <b><font color=""red"">type</font></b> space",,,,,,,,,"Daniel Bursch <b><font color=""red"">type</font></b> astronaut","Daniel Bursch <b><font color=""red"">type</font></b> space",,,,,
Onufrienko and NASA astronaut Carl Walz relocated the cargo boom for the Russian Strela crane.,"Onufrienko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> astronaut",,,,,,
Onufriyenko returned to space on board Space ShuttleEndeavour's STS-108 mission.,"Onufriyenko <b><font color=""red"">mission</font></b> STS-108",,,,,,,,,,,,,,,,,,,,,,,,,,
Onufrienko again served as Commander on ISS Expedition 4.,"Onufrienko <b><font color=""red"">mission</font></b> Expedition 4",,,,,,,,,,,,,,,,,,,,,,,,,,
"Altogether, on board Soyuz TM-23 and Mir, Onufriyenko logged 193 days in space.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"On September 2, 1996, Onufriyenko, Usachev and Claudie Andr-Deshays returned to Earth on board the Soyuz TM-23 capsule.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,"Claudie Andr-Deshays <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,"Soyuz TM-23 <b><font color=""red"">crewLanding</font></b> Claudie Andr-Deshays",,,,,,
Onufriyenko and Yuri Usachov were joined by French astronaut Claudie Andr-Deshays after the departure of Shannon Lucid.,"Onufriyenko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Yuri Usachov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Claudie Andr-Deshays <b><font color=""red"">birthPlace</font></b> French","Claudie Andr-Deshays <b><font color=""red"">nationality</font></b> French","Claudie Andr-Deshays <b><font color=""red"">type</font></b> astronaut","Shannon Lucid <b><font color=""red"">type</font></b> astronaut",,,
"One month later, he and Yuri Usachov were joined by NASA astronaut Shannon Lucid.","Yuri Usachov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Shannon Lucid <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Shannon Lucid <b><font color=""red"">type</font></b> astronaut",,,,,,
"The Soyuz TM-23 spacecraft carrying Onufriyenko with cosmonaut Yury Usachov lifted off from the Baikonur Cosmodrome on February 21, 1996 at 12:34:05 UTC.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,"Soyuz TM-23 <b><font color=""red"">crewMembers</font></b> Yury Usachov",,,,,,,,,,,,,,,
"Onufriyenko served as a pilot in the Soviet (later Russian) Air Force, where he logged over 800 flight hours.","Onufriyenko <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,"Onufriyenko <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,,,,,
"Onufriyenko was born in Ryasne, Zolochiv Raion of Kharkiv Oblast, Soviet Union (now Ukraine).","Onufriyenko <b><font color=""red"">birthPlace</font></b> Ryasne",,,,,,,,,,,"Onufriyenko <b><font color=""red"">birthPlace</font></b> Kharkiv Oblast",,,,,,,,,"Onufriyenko <b><font color=""red"">birthPlace</font></b> Soviet Union","Onufriyenko <b><font color=""red"">birthPlace</font></b> now Ukraine",,,,,
"Col. Yuri Ivanovich Onufriyenko (Russian: ???? ???????? ??????????, Ukrainian: ???? ???????? ??????????) (born 6 February 1961) is a Russian cosmonaut.","Yuri Ivanovich Onufriyenko <b><font color=""red"">rank</font></b> Col.",,,,,,,,,,,"Yuri Ivanovich Onufriyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Yuri Ivanovich Onufriyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,
"Aircrew of the Year, 77th Fighter Squadron, 1991.","1991 <b><font color=""red"">type</font></b> the Year",,,,,,,,,,,,,,,,,,,,,,,,,,
"He is one of only two Air Force rated navigators who have been selected as astronauts (the other being Richard Mullane, selected in 1978).","Richard Mullane <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,,,,,,,,,,,,,,,,
"As an aviator, he has flown more than 30 types of aircraft, including the F-111 and the F-15.","the F-111 <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,
"[[Brecksville-Broadview Heights High School|Brecksville-Broadview_Heights_High_School]], Broadview Heights, Ohio, 1980.","Brecksville-Broadview Heights High School <b><font color=""red"">city</font></b> Broadview Heights",,,,,,,,,,,"Brecksville-Broadview Heights High School <b><font color=""red"">state</font></b> Ohio",,,,,,,,,"Broadview Heights <b><font color=""red"">isPartOf</font></b> Ohio",,,,,,
Mike Good flew aboard Space Shuttle Atlantis for its STS-125 mission.,"Mike Good <b><font color=""red"">mission</font></b> STS-125",,,,,,,,,,,"STS-125 <b><font color=""red"">crew3Up</font></b> Mike Good",,,,,,,,,"STS-125 <b><font color=""red"">crewMembers</font></b> Mike Good",,,,,,
"Michael Timothy ""LeBueno"" Good is a NASA astronaut and retired commissioned officer in the United States Air Force, holding the rank of Colonel.","Good <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Good <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Good <b><font color=""red"">rank</font></b> the rank","Good <b><font color=""red"">rank</font></b> the rank",,,,,
"His first flight, aboard Columbia, deployed the Chandra X-ray Observatory and was the first U.S. space mission commanded by a female, Eileen Collins.","Eileen Collins <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby was selected as an astronaut candidate in December 1994 at age 40.,"Ashby <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
He was the Navy Attack Aviator of the Year in 1991.,"1991 <b><font color=""red"">type</font></b> the Year",,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby is a 1986 graduate of the Naval Fighter Weapons School (Top Gun) and the U.S. Naval Test Pilot School.,"Top Gun <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,"Ashby <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,"Ashby <b><font color=""red"">rank</font></b> Naval","Ashby <b><font color=""red"">occupation</font></b> Test Pilot",,,,,
"Jeffrey Shears ""Bones"" Ashby is a former American naval aviator and astronaut, a veteran of three space shuttle missions.","Jeffrey <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anatoly Vasilyevich Filipchenko (Russian: ????????? ??????????? ???????????; born February 26, 1928 in Davydovka, Voronezh Oblast, RSFSR) was a Soviet cosmonaut of Ukrainian descent.","Voronezh Oblast <b><font color=""red"">country</font></b> Russian",,,,,,,,,,,"Russian <b><font color=""red"">establishedEvent</font></b> RSFSR",,,,,,,,,"Russian <b><font color=""red"">establishedEvent</font></b> RSFSR","Ukrainian descent <b><font color=""red"">populationPlace</font></b> Russian","Anatoly Vasilyevich Filipchenko <b><font color=""red"">birthPlace</font></b> Davydovka","Anatoly Vasilyevich Filipchenko <b><font color=""red"">type</font></b> cosmonaut",,,
